,County,Passenger Miles,County_Name,State_FIPS,County_Code,County_FIPS,ZIP_Code,File_Date,Three Digit County Code
0,Albany,"54,040,515 4,976,715 ",Albany,36,1,36001,12007,7/25/2007,001
1,Allegany,0 ,Allegany,36,3,36003,14024,7/25/2007,003
2,Broome,"7,028,557 ",Broome,36,7,36007,13730,7/25/2007,007
3,Cattaraugus,0 ,Cattaraugus,36,9,36009,14009,7/25/2007,009
4,Chautauqua,0 ,Chautauqua,36,13,36013,14048,7/25/2007,013
5,Chemung,0 0 ,Chemung,36,15,36015,14805,7/25/2007,015
6,Chenango,0 0 ,Chenango,36,17,36017,13040,7/25/2007,017
7,Clinton,0 ,Clinton,36,19,36019,12901,7/25/2007,019
8,Columbia,0 0 ,Columbia,36,21,36021,12017,7/25/2007,021
9,Cortland,0 ,Cortland,36,23,36023,13040,7/25/2007,023
10,Dutchess,"4,191,390 ",Dutchess,36,27,36027,10516,7/25/2007,027
11,Erie,"73,140,158 ",Erie,36,29,36029,14001,7/25/2007,029
12,Essex,0 ,Essex,36,31,36031,12836,7/25/2007,031
13,Franklin,0 0 ,Franklin,36,33,36033,12912,7/25/2007,033
14,Fulton,0 0 ,Fulton,36,35,36035,12010,7/25/2007,035
15,Genesee,0 ,Genesee,36,37,36037,14001,7/25/2007,037
16,Greene,0 ,Greene,36,39,36039,12015,7/25/2007,039
17,Herkimer,0 ,Herkimer,36,43,36043,13304,7/25/2007,043
18,Jefferson,0 ,Jefferson,36,45,36045,13083,7/25/2007,045
19,Kings,"17,875,468 4,123,830 ",Kings,36,47,36047,11201,7/25/2007,047
20,Lewis,0 ,Lewis,36,49,36049,13305,7/25/2007,049
21,Monroe,"50,345,826 0 ",Monroe,36,55,36055,14410,7/25/2007,055
22,Montgomery,0 0 0 0 ,Montgomery,36,57,36057,12010,7/25/2007,057
23,Nassau,"126,842,031 577,723 ",Nassau,36,59,36059,11001,7/25/2007,059
24,New York,"158,586,769 1,472,423,041 56,084,904 479,073 2,154,521,183 381,346,415 16,650,254 ",New York,36,61,36061,10001,7/25/2007,061
25,Niagara,0 ,Niagara,36,63,36063,14001,7/25/2007,063
26,Oneida,0 ,Oneida,36,65,36065,13032,7/25/2007,065
27,Onondaga,"33,908,580 ",Onondaga,36,67,36067,13020,7/25/2007,067
28,Orange,0 0 0 0 0 0 ,Orange,36,71,36071,10910,7/25/2007,071
29,Orleans,0 ,Orleans,36,73,36073,14058,7/25/2007,073
30,Oswego,0 ,Oswego,36,75,36075,13028,7/25/2007,075
31,Otsego,0 0 0 ,Otsego,36,77,36077,12036,7/25/2007,077
32,Putnam,"834,327 ",Putnam,36,79,36079,10509,7/25/2007,079
33,Queens,"3,405,961,936 ",Queens,36,81,36081,11001,7/25/2007,081
34,Rensselaer,0 ,Rensselaer,36,83,36083,12018,7/25/2007,083
35,Rockland,"15,594,160 25,869,858 0 0 0 ",Rockland,36,87,36087,10901,7/25/2007,087
36,Saratoga,0 ,Saratoga,36,91,36091,12010,7/25/2007,091
37,Schoharie,0 0 ,Schoharie,36,95,36095,12023,7/25/2007,095
38,Schuyler,0 ,Schuyler,36,97,36097,14805,7/25/2007,097
39,St. Lawrence,0 ,St. Lawrence,36,89,36089,12914,7/25/2007,089
40,Steuben,0 0 ,Steuben,36,101,36101,14418,7/25/2007,101
41,Suffolk,"27,882,104 73,791,820 502,809 ",Suffolk,36,103,36103,501,7/25/2007,103
42,Sullivan,0 ,Sullivan,36,105,36105,10940,7/25/2007,105
43,Tompkins,"11,554,814 ",Tompkins,36,109,36109,13045,7/25/2007,109
44,Ulster,"41,046,163 3,600,877 0 ",Ulster,36,111,36111,12401,7/25/2007,111
45,Warren,0 ,Warren,36,113,36113,12801,7/25/2007,113
46,Wayne,0 ,Wayne,36,117,36117,13143,7/25/2007,117
47,Westchester,"118,800,235 ",Westchester,36,119,36119,10470,7/25/2007,119
48,Wyoming,0 ,Wyoming,36,121,36121,14004,7/25/2007,121
49,Yates,0 ,Yates,36,123,36123,14415,7/25/2007,123
