,County,Population,Index_Total,Crime_Rate,County_Name,Three Digit County Code
0,Albany,307919,8787.0,2853.672556743819,Albany,001
1,Allegany,46669,509.0,1090.6597527266492,Allegany,003
2,Bronx,1439956,35507.0,2465.8392339765937,Bronx,005
3,Broome,193255,5584.0,2889.4465861167887,Broome,007
4,Cattaraugus,77199,1176.0,1523.33579450511,Cattaraugus,009
5,Cayuga,77495,1371.0,1769.1463965417122,Cayuga,011
6,Chautauqua,128424,2791.0,2173.269793808011,Chautauqua,013
7,Chemung,84825,1567.0,1847.332743884468,Chemung,015
8,Chenango,47842,715.0,1494.502738179842,Chenango,017
9,Clinton,80595,1215.0,1507.537688442211,Clinton,019
10,Columbia,60312,969.0,1606.6454436927975,Columbia,021
11,Cortland,47834,994.0,2078.019818539114,Cortland,023
12,Delaware,45061,520.0,1153.9912562970196,Delaware,025
13,Dutchess,293512,4096.0,1395.5136416909702,Dutchess,027
14,Erie,919378,23369.0,2541.827191862324,Erie,029
15,Essex,37521,420.0,1119.3731510354203,Essex,031
16,Franklin,50478,688.0,1362.9700067356075,Franklin,033
17,Fulton,53815,1088.0,2021.7411502369227,Fulton,035
18,Genesee,57828,1143.0,1976.551151691222,Genesee,037
19,Greene,47403,635.0,1339.577663860937,Greene,039
20,Hamilton,4477,36.0,804.1098950189859,Hamilton,041
21,Herkimer,62193,1162.0,1868.3774701332948,Herkimer,043
22,Jefferson,113488,2261.0,1992.2811222331877,Jefferson,045
23,Kings,2594357,49766.0,1918.2402421871777,Kings,047
24,Lewis,26606,260.0,977.2231827407352,Lewis,049
25,Livingston,63503,809.0,1273.9555611545911,Livingston,051
26,Madison,70993,986.0,1388.8693251447326,Madison,053
27,Monroe,743528,18951.0,2548.794396445057,Monroe,055
28,Montgomery,49203,939.0,1908.4202182793733,Montgomery,057
29,Nassau,1357260,14039.0,1034.3633496898162,Nassau,059
30,New York,1632337,47146.0,2888.251629412309,New York,061
31,Niagara,210911,5598.0,2654.200112843806,Niagara,063
32,Oneida,229980,4782.0,2079.3112444560397,Oneida,065
33,Onondaga,461843,10893.0,2358.593721242933,Onondaga,067
34,Ontario,109652,1623.0,1480.13716120089,Ontario,069
35,Orange,379896,6757.0,1778.6446817023607,Orange,071
36,Orleans,40815,764.0,1871.860835477153,Orleans,073
37,Oswego,118444,1980.0,1671.6760663267028,Oswego,075
38,Otsego,59955,734.0,1224.2515219748143,Otsego,077
39,Putnam,98901,628.0,634.9784127561906,Putnam,079
40,Queens,2295226,32860.0,1431.6672955081547,Queens,081
41,Rensselaer,159214,3518.0,2209.6046830052633,Rensselaer,083
42,Richmond,475819,5969.0,1254.4686109634126,Richmond,085
43,Rockland,324600,3405.0,1048.9833641404807,Rockland,087
44,Saratoga,229314,2795.0,1218.852752121545,Saratoga,091
45,Schenectady,154716,4601.0,2973.8359316424935,Schenectady,093
46,Schoharie,31260,314.0,1004.4785668586052,Schoharie,095
47,Schuyler,17910,70.0,390.8431044109436,Schuyler,097
48,Seneca,34293,571.0,1665.062840812994,Seneca,099
49,St. Lawrence,108768,1512.0,1390.1147396293027,St. Lawrence,089
50,Steuben,96379,1268.0,1315.6392990174209,Steuben,101
51,Suffolk,1483862,21462.0,1446.3609149637905,Suffolk,103
52,Sullivan,75000,1282.0,1709.3333333333333,Sullivan,105
53,Tioga,48659,453.0,930.9685772416202,Tioga,107
54,Tompkins,102731,1967.0,1914.709289308972,Tompkins,109
55,Ulster,178650,2572.0,1439.6865379233138,Ulster,111
56,Warren,64406,1079.0,1675.3097537496508,Warren,113
57,Washington,61600,541.0,878.2467532467532,Washington,115
58,Wayne,90429,1495.0,1653.2307113868337,Wayne,117
59,Westchester,970033,11580.0,1193.7738200659153,Westchester,119
60,Wyoming,40296,346.0,858.6460194560254,Wyoming,121
61,Yates,25021,259.0,1035.130490388074,Yates,123
