,County,Population,Index_Total,Crime_Rate,County_Name,Three Digit County Code
0,Albany,314848,7450.0,2366.2211606870615,Albany,001
1,Allegany,46456,1608.0,3461.339762355777,Allegany,003
2,Bronx,1472654,144868.0,9837.205480717128,Bronx,005
3,Broome,198683,20720.0,10428.67281045686,Broome,007
4,Cattaraugus,77042,3500.0,4542.97655824096,Cattaraugus,009
5,Cayuga,76248,5180.0,6793.6208162837065,Cayuga,011
6,Chautauqua,127657,11744.0,9199.652192985892,Chautauqua,013
7,Chemung,84148,6012.0,7144.554831962732,Chemung,015
8,Chenango,47220,3140.0,6649.724692926726,Chenango,017
9,Clinton,79843,4560.0,5711.208246183134,Clinton,019
10,Columbia,61570,2896.0,4703.589410427156,Columbia,021
11,Cortland,46809,3448.0,7366.104808904271,Cortland,023
12,Delaware,44308,1856.0,4188.859799584725,Delaware,025
13,Dutchess,295911,14932.0,5046.1118376809245,Dutchess,027
14,Erie,954236,86856.0,9102.150830612134,Erie,029
15,Essex,37381,1248.0,3338.59447312806,Essex,031
16,Franklin,47555,2608.0,5484.176217011881,Franklin,033
17,Fulton,53324,3832.0,7186.257595079139,Fulton,035
18,Genesee,58388,3308.0,5665.547715283962,Genesee,037
19,Greene,47931,2200.0,4589.931359662849,Greene,039
20,Hamilton,5107,184.0,3602.8979831603683,Hamilton,041
21,Herkimer,60139,3600.0,5986.132127238564,Herkimer,043
22,Jefferson,116721,8220.0,7042.434523350554,Jefferson,045
23,Kings,2736074,203752.0,7446.874609385564,Kings,047
24,Lewis,26582,596.0,2242.118726958092,Lewis,049
25,Livingston,61834,2264.0,3661.416049422648,Livingston,051
26,Madison,68016,3812.0,5604.563632086568,Madison,053
27,Monroe,759443,64352.0,8473.578662256417,Monroe,055
28,Montgomery,49532,3064.0,6185.900024226763,Montgomery,057
29,Nassau,1395774,48976.0,3508.877511688855,Nassau,059
30,New York,1694251,190704.0,11255.947318313521,New York,061
31,Niagara,212666,19064.0,8964.291424111047,Niagara,063
32,Oneida,232125,17852.0,7690.683898761443,Oneida,065
33,Onondaga,476516,39932.0,8379.991437853083,Onondaga,067
34,Ontario,112475,6056.0,5384.307623916427,Ontario,069
35,Orange,401322,19396.0,4833.026846273067,Orange,071
36,Orleans,40343,1856.0,4600.550281337531,Orleans,073
37,Oswego,117525,7200.0,6126.35609444799,Oswego,075
38,Otsego,58524,2548.0,4353.76939375299,Otsego,077
39,Putnam,97668,1592.0,1630.011876970963,Putnam,079
40,Queens,2405464,149784.0,6226.823598274595,Queens,081
41,Rensselaer,161130,12744.0,7909.141686836715,Rensselaer,083
42,Richmond,495747,20168.0,4068.2041444527144,Richmond,085
43,Rockland,338329,10960.0,3239.4503574922637,Rockland,087
44,Saratoga,235689,8916.0,3782.951262044474,Saratoga,091
45,Schenectady,158061,15412.0,9750.66588215942,Schenectady,093
46,Schoharie,29720,1260.0,4239.56931359354,Schoharie,095
47,Schuyler,17898,196.0,1095.0944239579842,Schuyler,097
48,Seneca,33814,1752.0,5181.2858579286685,Seneca,099
49,St. Lawrence,108505,4524.0,4169.393115524631,St. Lawrence,089
50,Steuben,93584,3452.0,3688.6647290135065,Steuben,101
51,Suffolk,1525920,72588.0,4756.999056307014,Suffolk,103
52,Sullivan,78643,3408.0,4333.507114428493,Sullivan,105
53,Tioga,48455,1728.0,3566.1954390671754,Tioga,107
54,Tompkins,105740,8508.0,8046.150936258748,Tompkins,109
55,Ulster,181851,7580.0,4168.24763130255,Ulster,111
56,Warren,65737,2968.0,4514.961132999681,Warren,113
57,Washington,61302,1464.0,2388.176568464324,Washington,115
58,Wayne,91283,5368.0,5880.613038572352,Wayne,117
59,Westchester,1004457,41228.0,4104.506215796197,Westchester,119
60,Wyoming,40531,1216.0,3000.172707310454,Wyoming,121
61,Yates,24774,884.0,3568.2570436748206,Yates,123
