,County,Population,Index_Total,Crime_Rate,County_Name,Three Digit County Code
0,Albany,306691,8340.0,2719.3494429246375,Albany,001
1,Allegany,46286,458.0,989.5000648144147,Allegany,003
2,Bronx,1432316,35355.0,2468.3798826515936,Bronx,005
3,Broome,192222,5134.0,2670.8701397342656,Broome,007
4,Cattaraugus,76748,1099.0,1431.959139000365,Cattaraugus,009
5,Cayuga,77121,1238.0,1605.2696412131584,Cayuga,011
6,Chautauqua,127516,2654.0,2081.307443771762,Chautauqua,013
7,Chemung,84033,1438.0,1711.2324919971916,Chemung,015
8,Chenango,47502,713.0,1500.9894320239148,Chenango,017
9,Clinton,80675,1160.0,1437.8679888441277,Clinton,019
10,Columbia,59852,892.0,1490.3428456860256,Columbia,021
11,Cortland,47721,775.0,1624.022966828021,Cortland,023
12,Delaware,44624,583.0,1306.4718537110075,Delaware,025
13,Dutchess,293814,3660.0,1245.6860462741733,Dutchess,027
14,Erie,919941,22899.0,2489.181371414036,Erie,029
15,Essex,37309,293.0,785.3332975957543,Essex,031
16,Franklin,50325,519.0,1031.296572280179,Franklin,033
17,Fulton,53654,944.0,1759.4214783613525,Fulton,035
18,Genesee,57509,946.0,1644.9599193169763,Genesee,037
19,Greene,47401,609.0,1284.7830214552437,Greene,039
20,Hamilton,4453,46.0,1033.0114529530654,Hamilton,041
21,Herkimer,61760,803.0,1300.1943005181347,Herkimer,043
22,Jefferson,112266,2017.0,1796.6258706999447,Jefferson,045
23,Kings,2580088,50106.0,1942.0267835825755,Kings,047
24,Lewis,26503,207.0,781.0436554352337,Lewis,049
25,Livingston,63281,635.0,1003.460754412857,Livingston,051
26,Madison,71180,952.0,1337.4543411070526,Madison,053
27,Monroe,744239,16658.0,2238.259483848602,Monroe,055
28,Montgomery,49502,721.0,1456.5068078057452,Montgomery,057
29,Nassau,1357423,13383.0,985.9122764237824,Nassau,059
30,New York,1632393,49830.0,3052.573736839107,New York,061
31,Niagara,210300,4428.0,2105.5634807417973,Niagara,063
32,Oneida,229431,4652.0,2027.6248632486456,Oneida,065
33,Onondaga,461890,9949.0,2153.9760549048474,Onondaga,067
34,Ontario,109962,1462.0,1329.5502082537605,Ontario,069
35,Orange,382411,5945.0,1554.6100922829103,Orange,071
36,Orleans,40708,600.0,1473.9117618158593,Orleans,073
37,Oswego,117520,2033.0,1729.9183117767188,Oswego,075
38,Otsego,59828,719.0,1201.7784315036438,Otsego,077
39,Putnam,98871,502.0,507.73229764035966,Putnam,079
40,Queens,2275286,33135.0,1456.3004387140782,Queens,081
41,Rensselaer,159452,3095.0,1941.0230037879737,Rensselaer,083
42,Richmond,476531,5738.0,1204.1189345499033,Richmond,085
43,Rockland,325656,3213.0,986.6239221755472,Rockland,087
44,Saratoga,230127,2610.0,1134.156357141926,Saratoga,091
45,Schenectady,155334,4615.0,2971.01729177128,Schenectady,093
46,Schoharie,31182,320.0,1026.2330831890192,Schoharie,095
47,Schuyler,17842,60.0,336.2851698240108,Schuyler,097
48,Seneca,34277,466.0,1359.5122093532107,Seneca,099
49,St. Lawrence,108534,1401.0,1290.8397368566532,St. Lawrence,089
50,Steuben,95876,1043.0,1087.8634903416914,Steuben,101
51,Suffolk,1482275,18977.0,1280.26175979491,Suffolk,103
52,Sullivan,75381,1198.0,1589.2598930765046,Sullivan,105
53,Tioga,48515,397.0,818.3036174379057,Tioga,107
54,Tompkins,102382,1920.0,1875.3296477896506,Tompkins,109
55,Ulster,178510,2262.0,1267.1559016301608,Ulster,111
56,Warren,64269,953.0,1482.8299802393067,Warren,113
57,Washington,61335,460.0,749.9796201190185,Washington,115
58,Wayne,90110,1483.0,1645.7662856508712,Wayne,117
59,Westchester,968928,9846.0,1016.1745764391163,Westchester,119
60,Wyoming,40068,333.0,831.0871518418687,Wyoming,121
61,Yates,24959,245.0,981.6098401378262,Yates,123
