,County,Population,Index_Total,Crime_Rate,County_Name,Three Digit County Code
0,Albany,307810,8766.0,2847.8606932848184,Albany,001
1,Allegany,47063,572.0,1215.3921339481121,Allegany,003
2,Bronx,1443678,36834.0,2551.3999659203782,Bronx,005
3,Broome,194575,5424.0,2787.6140305794684,Broome,007
4,Cattaraugus,77711,1262.0,1623.9657191388608,Cattaraugus,009
5,Cayuga,77696,1428.0,1837.9324546952225,Cayuga,011
6,Chautauqua,129310,3328.0,2573.6601964271904,Chautauqua,013
7,Chemung,85692,2064.0,2408.626242823134,Chemung,015
8,Chenango,48325,966.0,1998.9653388515262,Chenango,017
9,Clinton,80521,1395.0,1732.4673066653422,Clinton,019
10,Columbia,60801,837.0,1376.6220950313316,Columbia,021
11,Cortland,47950,820.0,1710.1147028154326,Cortland,023
12,Delaware,45399,671.0,1478.006123482896,Delaware,025
13,Dutchess,293065,4116.0,1404.4665859109753,Dutchess,027
14,Erie,918992,25816.0,2809.1648240681093,Erie,029
15,Essex,37695,397.0,1053.190078259716,Essex,031
16,Franklin,51073,706.0,1382.3350889902688,Franklin,033
17,Fulton,53643,1182.0,2203.456182540126,Fulton,035
18,Genesee,58024,1263.0,2176.685509444368,Genesee,037
19,Greene,47481,554.0,1166.7825024746742,Greene,039
20,Hamilton,4558,54.0,1184.7301448003511,Hamilton,041
21,Herkimer,62434,1107.0,1773.0723644168243,Herkimer,043
22,Jefferson,113280,2381.0,2101.871468926554,Jefferson,045
23,Kings,2608146,50802.0,1947.8204057594935,Kings,047
24,Lewis,26656,236.0,885.3541416566626,Lewis,049
25,Livingston,64013,886.0,1384.0938559355131,Livingston,051
26,Madison,71426,1031.0,1443.4519642707137,Madison,053
27,Monroe,744150,18765.0,2521.669018343076,Monroe,055
28,Montgomery,49242,1024.0,2079.5256082206247,Montgomery,057
29,Nassau,1356067,15278.0,1126.6404978515075,Nassau,059
30,New York,1636721,46653.0,2850.3941722504937,New York,061
31,Niagara,211555,6145.0,2904.6819975892795,Niagara,063
32,Oneida,230372,5232.0,2271.1093362040524,Oneida,065
33,Onondaga,464139,11116.0,2394.9721958292666,Onondaga,067
34,Ontario,109348,1866.0,1706.4783992391262,Ontario,069
35,Orange,377894,7311.0,1934.6695104976527,Orange,071
36,Orleans,41270,749.0,1814.877635086019,Orleans,073
37,Oswego,118907,2314.0,1946.0586845181526,Oswego,075
38,Otsego,60135,779.0,1295.4186413902055,Otsego,077
39,Putnam,98753,603.0,610.6143610827013,Putnam,079
40,Queens,2306249,33800.0,1465.5832913098282,Queens,081
41,Rensselaer,159311,3658.0,2296.1377431564674,Rensselaer,083
42,Richmond,474160,6313.0,1331.4071199595073,Richmond,085
43,Rockland,323231,3562.0,1101.9982613053821,Rockland,087
44,Saratoga,227189,2846.0,1252.7014952308432,Saratoga,091
45,Schenectady,154473,4685.0,3032.892479591903,Schenectady,093
46,Schoharie,31318,384.0,1226.131936905294,Schoharie,095
47,Schuyler,17976,118.0,656.4307966177125,Schuyler,097
48,Seneca,34725,643.0,1851.6918646508277,Seneca,099
49,St. Lawrence,109506,1739.0,1588.040837944953,St. Lawrence,089
50,Steuben,96975,1526.0,1573.6014436710493,Steuben,101
51,Suffolk,1486699,23092.0,1553.239761377387,Suffolk,103
52,Sullivan,74913,1229.0,1640.5697275506254,Sullivan,105
53,Tioga,48858,463.0,947.6441933767245,Tioga,107
54,Tompkins,103042,1957.0,1899.225558510122,Tompkins,109
55,Ulster,179045,2644.0,1476.7237286715629,Ulster,111
56,Warren,64525,1201.0,1861.294072065091,Warren,113
57,Washington,61812,595.0,962.5962596259627,Washington,115
58,Wayne,90823,1623.0,1786.992281690761,Wayne,117
59,Westchester,970461,12543.0,1292.4785230936636,Westchester,119
60,Wyoming,40450,327.0,808.4054388133497,Wyoming,121
61,Yates,25080,320.0,1275.9170653907497,Yates,123
